Course_Name,Company_Name,Ratings,Difficulty,Duration
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,4.5,Beginner,1 - 4 Weeks
IBM z/OS Mainframe Practitioner,IBM,4.7,Mixed,1 - 3 Months
The Path to Insights: Data Models and Pipelines,Google,4.7,Beginner,3 - 6 Months
Harnessing the Power of Data with Power BI,Microsoft,4.5,Intermediate,3 - 6 Months
Introduction to DevOps,IBM,4.8,Beginner,1 - 3 Months
Natural Language Processing with Probabilistic Models,DeepLearning.AI,4.7,Advanced,1 - 3 Months
"Introduction to Web Development with HTML, CSS, JavaScript",IBM,4.6,Beginner,3 - 6 Months
Google IT Support (Deutsch),Google,4.7,Beginner,3 - 6 Months
Building AI Powered Chatbots Without Programming,IBM,4.8,Beginner,3 - 6 Months
Microsoft Azure AI Fundamentals AI-900 Exam Prep,Microsoft,4.6,Beginner,1 - 4 Weeks
AI for Medical Diagnosis,DeepLearning.AI,4.7,Mixed,1 - 3 Months
Linux and Private Cloud Administration on IBM Power Systems,IBM,4.8,Beginner,1 - 3 Months
"Sequences, Time Series and Prediction",DeepLearning.AI,4.7,Beginner,3 - 6 Months
Introduction to Deep Learning & Neural Networks with Keras,IBM,4.7,Advanced,1 - 3 Months
Natural Language Processing in TensorFlow,DeepLearning.AI,4.6,Mixed,1 - 3 Months
Introduction to Software Engineering,IBM,4.7,Intermediate,1 - 3 Months
Introduction to Computer Vision and Image Processing,IBM,4.3,Beginner,3 - 6 Months
Go Beyond the Numbers: Translate Data into Insights,Google,4.8,Mixed,1 - 3 Months
Organizational Change and Culture for Adopting Google Cloud,Google Cloud,4.7,Beginner,1 - 3 Months
Exploratory Data Analysis for Machine Learning,IBM,4.6,Beginner,1 - 3 Months
AI and Public Health,DeepLearning.AI,4.8,Intermediate,1 - 3 Months
Version Control,Meta,4.6,Advanced,3 - 6 Months
Deep Neural Networks with PyTorch,IBM,4.4,Beginner,1 - 3 Months
Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,4.7,Intermediate,1 - 4 Weeks
Hands-on Introduction to Linux Commands and Shell Scripting,IBM,4.7,Beginner,1 - 3 Months
Introduction to Computers and Operating Systems and Security,Microsoft,4.8,Beginner,1 - 4 Weeks
Natural Language Processing with Attention Models,DeepLearning.AI,4.4,Beginner,1 - 4 Weeks
Social Media Management,Meta,4.9,Beginner,3 - 6 Months
"Decisions, Decisions: Dashboards and Reports",Google,4.8,Intermediate,1 - 3 Months
Introduction to Agile Development and Scrum,IBM,4.9,Intermediate,3 - 6 Months
Satisfaction Guaranteed: Develop Customer Loyalty Online,Google,4.8,Beginner,3 - 6 Months
"Extract, Transform and Load Data in Power BI",Microsoft,4.4,Beginner,1 - 4 Weeks
Developing AI Applications with Python and Flask,IBM,4.3,Beginner,3 - 6 Months
Natural Language Processing with Sequence Models,DeepLearning.AI,4.5,Mixed,1 - 3 Months
Marketing digital e e-commerce do Google,Google,4.9,Mixed,1 - 4 Weeks
Getting Started with Git and GitHub,IBM,4.6,Beginner,1 - 4 Weeks
The Power of Statistics,Google,4.8,Intermediate,1 - 4 Weeks
From Data to Insights with Google Cloud,Google Cloud,4.6,Beginner,3 - 6 Months
Microsoft Azure Developer Associate (AZ-204),Microsoft,4.6,Mixed,1 - 3 Months
Introduction to Responsible AI,Google Cloud,4.6,Beginner,3 - 6 Months
Google Data Analytics (DE),Google,4.4,Beginner,3 - 6 Months
Data Analysis and Visualization with Power BI,Microsoft,4.6,Beginner,1 - 4 Weeks
Google UX Design,Google,4.7,Beginner,3 - 6 Months
Machine Learning Modeling Pipelines in Production,DeepLearning.AI,4.4,Beginner,1 - 4 Weeks
Microsoft Power Platform Fundamentals,Microsoft,4.3,Mixed,1 - 3 Months
Digital Transformation Using AI/ML with Google Cloud,Google Cloud,4.6,Beginner,1 - 3 Months
Using Python to Interact with the Operating System,Google,4.7,Beginner,3 - 6 Months
Marketing en redes sociales de Meta,Meta,4.9,Intermediate,3 - 6 Months
Developing Front-End Apps with React,IBM,4.3,Beginner,1 - 4 Weeks
Google UX Design (DE),Google,4.4,Beginner,1 - 3 Months
Customer Experiences with Contact Center AI - Dialogflow CX,Google Cloud,4.4,Advanced,3 - 6 Months
"Cybersecurity Roles, Processes & Operating System Security",IBM,4.6,Beginner,1 - 4 Weeks
Building Deep Learning Models with TensorFlow,IBM,4.4,Beginner,1 - 3 Months
Generative AI: Foundation Models and Platforms,IBM,4.8,Intermediate,3 - 6 Months
Deploying Machine Learning Models in Production,DeepLearning.AI,4.5,Beginner,1 - 4 Weeks
Introduction to Hardware and Operating Systems,IBM,4.8,Intermediate,1 - 4 Weeks
Introduction to Technical Support,IBM,4.8,Beginner,1 - 3 Months
Introduction to Back-End Development,Meta,4.8,Beginner,3 - 6 Months
Suporte em TI do Google,Google,4.9,Beginner,3 - 6 Months
Principles of UX/UI Design,Meta,4.7,Beginner,1 - 3 Months
Advanced React,Meta,4.7,Intermediate,3 - 6 Months
HTML and CSS in depth,Meta,4.7,Mixed,1 - 3 Months
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,4.7,Intermediate,3 - 6 Months
Programming in Python,Meta,4.7,Advanced,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate æ¥æ¬èªç,Google Cloud,4.4,Beginner,1 - 3 Months
Python Project for Data Engineering,IBM,4.6,Beginner,1 - 3 Months
Customer Experiences with Contact Center AI - Dialogflow ES,Google Cloud,4.5,Beginner,1 - 3 Months
AI Capstone Project with Deep Learning,IBM,4.5,Mixed,1 - 4 Weeks
Getting Started with Front-End and Web Development,IBM,4.4,Intermediate,3 - 6 Months
IBM Data Analyst Capstone Project,IBM,4.6,Beginner,3 - 6 Months
AI and Climate Change,DeepLearning.AI,4.8,Beginner,3 - 6 Months
"ETL and Data Pipelines with Shell, Airflow and Kafka",IBM,4.5,Beginner,3 - 6 Months
Coding for Beginners: An Easy Introduction,IBM,3,Beginner,1 - 4 Weeks
